,Time Stamp,Region,Total Cases,Daily New Cases,Risk-Score,Risk-Level,Rank,RS Diff,Trend
116,2020-09-15,CHEVIOT HILLS,68,0.0,0.0,0,117,-0.007509880626956761,Neutral
117,2020-09-15,SILVERLAKE,602,1.0,1.039567718638153,2,118,-0.007934271584176145,Neutral
118,2020-09-15,DEL REY,336,1.0,0.036908473006204034,0,119,-0.00864514387685933,Neutral
119,2020-09-15,BOYLE HEIGHTS,4130,4.0,0.8621962648836072,1,120,-0.008743177376225209,Neutral
120,2020-09-15,CLAREMONT,388,0.0,0.0,0,121,-0.008972295684515444,Neutral
121,2020-09-15,PACIFIC PALISADES,121,1.0,0.2791847014936506,1,122,-0.009139107657091833,Neutral
122,2020-09-15,EXPOSITION PARK,1275,5.0,2.0123926748782264,3,123,-0.009283955703711433,Neutral
123,2020-09-15,INDUSTRY,36,0.0,0.0,0,124,-0.009677452626589755,Neutral
124,2020-09-15,BEVERLYWOOD,147,0.0,0.5651295745187133,1,125,-0.009732542730304883,Neutral
125,2020-09-15,EL MONTE,4210,4.0,0.0,0,126,-0.009960063086059907,Neutral
126,2020-09-15,SAN PEDRO,1978,2.0,0.0,0,127,-0.01055874887791941,Neutral
127,2020-09-15,MALIBU,101,0.0,0.0,0,128,-0.01097447786731362,Neutral
128,2020-09-15,TOLUCA WOODS,18,0.0,0.0,0,129,-0.011379571703367083,Neutral
129,2020-09-15,CERRITOS,558,1.0,0.0,0,130,-0.011541574951390063,Neutral
130,2020-09-15,HERMOSA BEACH,202,1.0,0.21923142257586176,1,131,-0.011871911057046491,Neutral
131,2020-09-15,VALLEY VILLAGE,488,,0.7755442148359626,1,132,-0.012583296150603829,Neutral
132,2020-09-15,SOUTH CARTHAY,109,1.0,0.28064060708244765,1,133,-0.012770431538493818,Neutral
133,2020-09-15,THAI TOWN,158,0.0,0.0,0,134,-0.012964057752136271,Neutral
134,2020-09-15,SANTA MONICA,834,1.0,0.4972982694937002,1,135,-0.013621633775980246,Neutral
135,2020-09-15,ECHO PARK,227,0.0,0.727902812084114,1,136,-0.013822544349957555,Neutral
136,2020-09-15,TOLUCA LAKE,98,0.0,0.1616307558154288,1,137,-0.014908951474735699,Neutral
137,2020-09-15,LITTLE TOKYO,78,0.0,0.0,0,138,-0.01557976666996208,Neutral
138,2020-09-15,MAR VISTA,305,0.0,0.014124216151172325,0,139,-0.015609269873914644,Neutral
139,2020-09-15,WHOLESALE DISTRICT,2326,11.0,2.92295043175016,3,140,-0.015638818858712433,Neutral
140,2020-09-15,LOMITA,246,0.0,0.0,0,141,-0.01648513580520817,Neutral
141,2020-09-15,MIRACLE MILE,167,0.0,0.0,0,142,-0.01683756214453086,Neutral
142,2020-09-15,CALABASAS,251,0.0,0.3156144648438977,1,143,-0.017467761481538058,Neutral
143,2020-09-15,HAWTHORNE,2624,2.0,0.42425661618939897,1,144,-0.017613407022069927,Neutral
144,2020-09-15,WELLINGTON SQUARE,120,0.0,0.0,0,145,-0.01776022079888323,Neutral
145,2020-09-15,ROWLAND HEIGHTS,640,,0.35658505104904153,1,146,-0.019143032788916825,Neutral
146,2020-09-15,WATTS,1881,3.0,1.7279304277717074,2,147,-0.020786956739863083,Neutral
147,2020-09-15,WESTCHESTER,403,1.0,0.6277671681741743,1,148,-0.021505581896692688,Neutral
148,2020-09-15,AGOURA HILLS,156,1.0,0.3772627341809369,1,149,-0.02224815440670766,Neutral
149,2020-09-15,LITTLE ARMENIA,384,,0.07713991792473551,0,150,-0.022625695124126072,Neutral
150,2020-09-15,AZUSA,1946,1.0,0.21416746218157506,1,151,-0.023584556601630058,Neutral
151,2020-09-15,SHERMAN OAKS,997,3.0,0.8988353723746668,1,152,-0.02377526470354141,Neutral
152,2020-09-15,SOUTH PARK,1984,3.0,1.868029470296608,2,153,-0.02421546371765304,Neutral
153,2020-09-15,SUN VALLEY,1535,2.0,2.149850219899989,3,154,-0.024218148800752903,Neutral
154,2020-09-15,VERMONT KNOLLS,704,3.0,0.6831747978382066,1,155,-0.025037296435792444,Neutral
155,2020-09-15,RANCHO PARK,87,0.0,0.0,0,156,-0.025677746051379652,Neutral
156,2020-09-15,CADILLAC-CORNING,122,0.0,0.06065891627388804,0,157,-0.027988669286815315,Neutral
157,2020-09-15,LA HABRA HEIGHTS,40,0.0,0.0,0,158,-0.028102576320687647,Neutral
158,2020-09-15,CLOVERDALE/COCHRAN,289,0.0,0.0,0,159,-0.029351017434387006,Neutral
159,2020-09-15,GRAMERCY PLACE,232,1.0,0.3145771486903095,1,160,-0.029741711299031748,Neutral
160,2020-09-15,LOS FELIZ,198,0.0,0.0,0,161,-0.030023342729757152,Neutral
161,2020-09-15,TEMPLE CITY,514,3.0,0.4173837114062476,1,162,-0.030200586820452235,Neutral
162,2020-09-15,CARSON,2258,0.0,0.18021690828283685,1,163,-0.030255280045762112,Neutral
163,2020-09-15,WILSHIRE CENTER,1070,4.0,1.7060913963946287,2,164,-0.03073799540709321,Neutral
164,2020-09-15,CASTAIC,1923,1.0,0.1671895732939289,1,165,-0.03132534596059561,Neutral
165,2020-09-15,COMPTON,4578,8.0,0.16201859961456225,1,166,-0.03169291760256843,Neutral
166,2020-09-15,PALOS VERDES ESTATES,92,0.0,0.0,0,167,-0.03193904069768028,Neutral
167,2020-09-15,HOLLYWOOD HILLS,277,1.0,0.1576823885475767,1,168,-0.03206789660559184,Neutral
168,2020-09-15,HOLLYWOOD,1142,3.0,0.1576823885475767,1,168,-0.03206789660559184,Neutral
169,2020-09-15,ELYSIAN VALLEY,252,0.0,0.0,0,170,-0.03301217564023895,Neutral
170,2020-09-15,SAN MARINO,85,0.0,0.06846576540341442,0,171,-0.03398648598304796,Neutral
171,2020-09-15,MT. WASHINGTON,529,1.0,0.22455362715853586,1,172,-0.03476113006172138,Neutral
172,2020-09-15,WILMINGTON,1705,1.0,0.5819347446357684,1,173,-0.03507830948879653,Neutral
173,2020-09-15,STEVENSON RANCH,240,,0.22809433008609664,1,174,-0.03521077710016435,Neutral
174,2020-09-15,BELLFLOWER,2291,8.0,1.8621383447239088,2,175,-0.03596843329327082,Neutral
175,2020-09-15,FIGUEROA PARK SQUARE,311,0.0,0.0,0,176,-0.03600416077090551,Neutral
176,2020-09-15,LEIMERT PARK,298,1.0,0.4506126501314094,1,177,-0.03774276140974753,Neutral
177,2020-09-15,ARTESIA,348,1.0,0.0,0,178,-0.04155908267572883,Neutral
178,2020-09-15,KOREATOWN,1119,1.0,1.318765900198139,2,179,-0.04174066989903946,Neutral
179,2020-09-15,LAWNDALE,758,2.0,0.0,0,180,-0.04175126041004287,Neutral
180,2020-09-15,MAYWOOD,1392,2.0,1.7870601559475237,2,181,-0.04239678590104301,Neutral
181,2020-09-15,CULVER CITY,610,2.0,0.0,0,182,-0.04324475996340482,Neutral
182,2020-09-15,CANOGA PARK,1789,2.0,2.4917398697679403,3,183,-0.04381210668956692,Neutral
183,2020-09-15,CRENSHAW DISTRICT,290,0.0,0.0,0,184,-0.04383136429237583,Neutral
184,2020-09-15,LYNWOOD,3138,5.0,1.671173100115348,2,185,-0.044156281634332384,Neutral
185,2020-09-15,BEL AIR,79,0.0,0.0,0,186,-0.04429885313708713,Neutral
186,2020-09-15,WEST WHITTIER/LOS NIETOS,939,2.0,0.4334357157416408,1,187,-0.044898465731748605,Neutral
187,2020-09-15,ROSEMEAD,801,2.0,0.519498782557308,1,188,-0.04590967490390163,Neutral
188,2020-09-15,GRANADA HILLS,1132,2.0,0.19340069768253326,1,189,-0.04626443096457988,Neutral
189,2020-09-15,ALHAMBRA,1205,1.0,1.1291355379098698,2,190,-0.04643933122005017,Neutral
190,2020-09-15,MONTEREY PARK,933,3.0,0.3536394501309893,1,191,-0.04672374734410756,Neutral
191,2020-09-15,NORTHRIDGE,1339,2.0,2.767209784318478,3,192,-0.047218388672735756,Neutral
192,2020-09-15,TUJUNGA,471,3.0,0.8533806434348168,1,193,-0.05026883677521432,Neutral
193,2020-09-15,PICO RIVERA,2318,3.0,1.223154308965176,2,194,-0.05269157281014869,Neutral
194,2020-09-15,EL SERENO,1176,3.0,0.240425332441804,1,195,-0.05862729640012021,Neutral
195,2020-09-15,DOWNTOWN,773,6.0,1.4746578201882956,2,196,-0.059393033502187054,Neutral
